rank,frequency,word_hi,word_en
885,140,माननीय,mānnīya
886,140,मूल्यांकन,mūlyāṅkan
887,140,गाय,gāy
888,140,क्षण,kṣaṇ
889,139,हालत,hālat
890,139,संदर्भ,sandarbh
891,139,बीस,bīs
892,139,दोष,doṣ
893,139,जीव,jīv
894,139,चित्रित,citrit
895,139,खान,khān
896,139,खुशी,khuśī
897,138,रोजगार,rojgār
898,138,रिपोर्ट,riporṭ
899,138,मंत्रालय,mantrālay
900,138,प्राथमिक,prāthmik
901,138,प्रदर्शित,pradarśit
902,138,धारणा,dhārṇā
903,138,ताल,tāl
904,138,जंगल,jaṅgal
905,137,सका,sakā
906,137,यान,yān
907,137,उपक्रम,upakram
908,137,अंकित,aṅkit
909,136,शिव,śiv
910,136,त्याग,tyāg
911,136,जिसने,jisne
912,136,गरम,garam
913,135,समाचार,samācār
914,135,शाखा,śākhā
915,135,बुरी,burī
916,135,डाला,ḍālā
917,135,जून,jūn
918,135,ज्ञात,jñāt
919,135,गर्भ,garbh
920,135,कर्मचारियों,karmacāriyõ
921,134,मामलों,māmlõ
922,134,बजाय,bajāy
923,134,तरीके,tarīke
924,134,आदर्श,ādarś
925,133,हिस्सा,hissā
926,133,संरचना,sanracnā
927,133,स्पर्श,sparś
928,133,जनवरी,janavrī
929,133,चित्रकला,citraklā
930,133,चरित्र,caritra
931,133,क्षेत्रीय,kṣetrīya
932,133,क्यू,kyū
933,132,रखता,rakhtā
934,132,बिक्री,bikrī
935,132,पुस्तकों,pustakõ
936,132,निर्मित,nirmit
937,132,जैन,jain
938,132,गले,gale
939,132,ग्रा,grā
940,132,खराब,kharāb
941,132,करो,karo
942,132,कक्षा,kakṣā
943,132,आश्चर्य,āścarya
944,131,रास्ता,rāstā
945,131,युक्त,yukt
946,131,बनाए,banāe
947,131,बेटा,beṭā
948,131,बेटे,beṭe
949,131,प्रबन्ध,prabandh
950,131,निम्नलिखित,nimnalikhit
951,131,चेहरा,cehrā
952,131,अर्जुन,arjun
953,130,सम्मान,sammān
954,130,यथार्थ,yathārth
955,130,बहू,bahū
956,130,ध्वनियों,dhvaniyõ
957,130,जिन्होंने,jinhõne
958,130,छाया,chāyā
959,130,खबर,khabar
960,129,संकट,saṅkaṭ
961,129,बेटी,beṭī
962,129,पशुओं,paśuõ
963,129,अति,ati
964,128,समझता,samajhtā
965,128,रोकने,rokne
966,128,भक्ति,bhakti
967,128,दशा,daśā
968,128,चलती,caltī
969,128,घास,ghās
970,128,कथन,kathan
971,127,सामान,sāmān
972,127,मजदूरी,majdūrī
973,127,भरी,bharī
974,127,बिलकुल,bilkul
975,127,दूसरों,dūsrõ
976,127,गरीब,garīb
977,127,अस्तित्व,astitva
978,127,अकेले,akele
979,126,सौन्दर्य,saundarya
980,126,साहसी,sāhsī
981,126,समझते,samajhte
982,126,विद्युत,vidyut
983,126,लिखी,likhī
984,126,नाटक,nāṭak
985,126,धूप,dhūp
986,126,दरवाजे,darvāje
987,126,कमजोर,kamjor
988,126,आदत,ādat
989,125,सम्प्रदाय,sampradāy
990,125,शोध,śodh
991,125,वीर,vīr
992,125,रुपया,rupyā
