rank,frequency,word,pos
821,-1,야,감탄사
822,-1,지식,명사
823,-1,현재,명사
824,-1,여전히,부사
825,-1,주인,명사
826,-1,발견하다,동사
827,-1,선,명사
828,-1,인류,명사
829,-1,특징,명사
830,-1,드리다,보조사
831,-1,선수,명사
832,-1,형식,명사
833,-1,마련하다,동사
834,-1,반,명사
835,-1,발표하다,동사
836,-1,주제,명사
837,-1,걸치다,동사
838,-1,겪다,동사
839,-1,관점,명사
840,-1,귀,명사
842,-1,기본,명사
844,-1,사라지다,동사
845,-1,어떠하다,형용사
846,-1,감정,명사
847,-1,기억,명사
849,-1,인기,명사
850,-1,배,명사
851,-1,아파트,명사
852,-1,가끔,부사
853,-1,구성,명사
855,-1,실제로,부사
856,-1,짧다,형용사
857,-1,고맙다,형용사
858,-1,관리,명사
860,-1,그곳,대명사
861,-1,달다,보조사
862,-1,보다,부사
863,-1,비롯하다,동사
865,-1,과연,부사
866,-1,들리다,동사
867,-1,달리다,동사
868,-1,바쁘다,형용사
869,-1,이전,명사
870,-1,인정하다,동사
872,-1,중앙,명사
873,-1,나쁘다,형용사
874,-1,불구하다,동사
876,-1,시키다,동사
877,-1,게임,명사
878,-1,국제,명사
879,-1,그룹,명사
880,-1,인생,명사
881,-1,전통,명사
882,-1,기르다,동사
884,-1,잔,명사
885,-1,조사하다,동사
886,-1,커다랗다,형용사
888,-1,있다,동사
890,-1,시인,명사
891,-1,언제,부사
893,-1,평가,명사
894,-1,내려오다,동사
895,-1,위치,명사
896,-1,줄이다,동사
898,-1,가격,명사
899,-1,달라지다,동사
900,-1,비다,동사
901,-1,삼국,명사
902,-1,손님,명사
903,-1,원하다,동사
904,-1,통신,명사
905,-1,확인하다,동사
906,-1,모임,명사
907,-1,수,명사
908,-1,아무,대명사
909,-1,웃음,명사
910,-1,기계,명사
912,-1,물질,명사
913,-1,아나운서,명사
914,-1,뉴스,명사
915,-1,살아가다,동사
916,-1,펴다,동사
918,-1,배,명사
919,-1,수업,명사
920,-1,겨울,명사
921,-1,종교,명사
922,-1,층,명사
924,-1,자연스럽다,형용사
927,-1,돌다,동사
928,-1,식사,명사
929,-1,안다,동사
930,-1,이해,명사
931,-1,잊다,동사
932,-1,제시하다,동사
933,-1,반,명사
934,-1,불과하다,형용사
936,-1,혹은,부사
937,-1,엄청나다,형용사
940,-1,텔레비전,명사
941,-1,파악하다,동사
943,-1,실천,명사
944,-1,노력하다,동사
945,-1,보호,명사
947,-1,씻다,동사
948,-1,한편,명사
949,-1,늦다,형용사
951,-1,이웃,명사
952,-1,편지,명사
953,-1,공동,명사
954,-1,까닭,명사
